,0
Common Room,0.031331332294351845
Walkable Resort,0.03377063892126973
Stage,0.016893412383583304
Exclusively Ours,0.016135425891405392
AV Setup,0.020215530868179
Banquet Area,0.025444890252343977
Kitchens in Units,0.03606361686876931
Catered Meals,0.015208849984830616
BBQ Facilities,0.021726535725109096
Picnic Area,0.02592400305778766
Campfire Pits,0.020146440443413405
A/C,0.03061756576741899
Disabled Access,0.019402747210037517
Limited Hills,0.015135200966233862
Lower Elevation,0.009510108321482854
Quiet Hours,0.017944596098879346
Low Rain Averages,0.013847098959362349
Low Tick Risk,0.021092023899635607
Low Mosquitos/Bugs,0.020306846872945355
Low Heat/Humidity,0.019754199328612713
RV Parking,0.009259041811526715
EV Charging,0.01157100472076837
Reliable Wifi,0.031772904839332455
Cell Coverage,0.03128927879182168
Direct Flight,0.021314894953723653
1 Plane Transfer,0.02588775868034903
Driveable from Home,0.015436514393767644
Town: walkable,0.020049835768765394
Town: <15min,0.023425532783620612
Mini mart,0.02099583037755909
Swimming Pool,0.02552032067112988
Beach,0.019284045304910152
Lake,0.02127280818842695
Boating,0.015602542147915342
Playground,0.018834482005230177
Game Room,0.018230658396880733
Tennis,0.01271384327115601
Spa,0.012919494398043506
Theme Parks,0.010691636169677372
Museums,0.016327374240621837
Horse Riding,0.01270844543910349
City Attractions,0.01677492639132242
National Parks,0.023917859691018797
Golf,0.013829124373555277
Hiking,0.023702606497799792
Shopping,0.012583730983421118
Pet friendly,0.010683703690056726
Laundry facilities,0.02551976590572504
Near Grocery Store,0.029197844956760827
Near Restaurants,0.025202879092764256
