,0
What regions would you prefer? [HI],2.28
What regions would you prefer? [AK],2.32
What regions would you prefer? [West Coast],2.88
What regions would you prefer? [Rockies],3.44
What regions would you prefer? [TX],1.8076923076923077
What regions would you prefer? [Great Plains],2.12
What regions would you prefer? [Southwest],2.68
What regions would you prefer? [Southeast],2.0
What regions would you prefer? [Midwest],2.3846153846153846
What regions would you prefer? [Northeast],2.923076923076923
