"Year","Location","State","Region","Latitude","Longitude","VenueType"
1962,"Blue Bell Lodge","SD","Midwest",43.585,-103.429,"Lodge"
1966,"Eagle Bay Resort","MN","Midwest",47.058,-94.598,"Resort"
1970,"Clement Beach Cottages","IA","Midwest",43.3,-95.15,"Cottages"
1973,"Shore Acres Resort, Table Rock","MO","Midwest",36.6,-93.333,"Resort"
1976,"Red 11 Point","OK","South",36.65,-94.8,"Resort"
1979,"The Moors","KY","South",36.883,-88.083,"Resort"
1982,"Harmel's Ranch Resort","CO","West",38.75,-107.983,"Ranch Resort"
1986,"Whispering Pines Resort","CA","West",39.5,-121.283,"Resort"
1989,"Marawarden Resort, Sarona","WI","Midwest",45.783,-91.733,"Resort"
1992,"Shawnee State Park","OH","Midwest",38.733,-83.25,"State Park"
1995,"Shawnee State Park","OH","Midwest",38.733,-83.25,"State Park"
1998,"The Pines, Bass Lake","CA","West",37.327,-119.574,"Resort"
2001,"Punderson State Park","OH","Midwest",41.45,-81.2,"State Park"
2004,"Whispering Pines Resort","AZ","West",34.4,-111.4,"Resort"
2007,"Mt. Bachelor Village","OR","West",44.025,-121.34,"Village Resort"
2010,"Blackwater Falls State Park","WV","South",39.1,-79.5,"State Park"
2013,"Mt. Princeton Resort","CO","West",38.733,-106.15,"Resort"
2016,"Big Sky","MT","West",45.3,-111.4,"Resort"
2019,"Twin Lake Village","NH","Northeast",43.05,-72.05,"Resort"
2022,"Mt. Bachelor Village","OR","West",44.025,-121.34,"Village Resort"
2025,"Waikiki","HI","Hawaii",21.276,-157.827,"Beach Resort"
