Year,Location,State,Region,Latitude,Longitude,VenueType,NearestMajorAirport,DistMajorKm,NearestRegionalAirport,DistRegionalKm,AvgHighJulyF,AvgLowJulyF,AvgHumidityJuly,ElevationFt,AvgRainfallJulyIn,TickRisk,MosquitoRisk,CommonRoom,WalkableResort,Stage,ExclusivelyOurs,AVSetup,BanquetArea,KitchensInUnits,CateredMealsAvail,BBQFacilities,PicnicArea,CampfirePits,HasAC,DisabledAccess,QuietHours,RVParking,EVCharging,ReliableWifi,CellCoverage,SwimmingPool,Beach,Lake,Boating,Playground,GameRoom,Tennis,Spa,HorseRiding,Golf,HikingOnsite,PetFriendly,LaundryFacilities,DistToTownMi,TownWalkable,DistToMiniMartMi,DistToGroceryMi,DistToRestaurantsMi,DistToShoppingMi,DistToThemeParkMi,DistToMuseumMi,DistToNationalParkMi,SeclusionScore,SettingScore,CostPerBedroomPerNight
1962,Blue Bell Lodge,SD,Midwest,43.585,-103.429,Lodge,DEN (Denver Intl),426.9,K3V0 (Custer State Park Airport),16.8,79.4,55.2,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,Eagle Bay Resort,MN,Midwest,47.058,-94.598,Resort,MSP (Minneapolis-St. Paul),264,Y49 (Walker Municipal Airport),11.7,77.9,58,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Clement Beach Cottages,IA,Midwest,43.3,-95.15,Cottages,MSP (Minneapolis-St. Paul),234.2,4D8 (Fuller Airport),3.8,84.3,62.6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,"Shore Acres Resort, Table Rock",MO,Midwest,36.6,-93.333,Resort,DFW (Dallas/Fort Worth Intl),532.6,KPLK (M. Graham Clark Downtown Airport),9.7,89.1,70.3,73.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Red 11 Point,OK,South,36.65,-94.8,Resort,DFW (Dallas/Fort Worth Intl),463.8,KGMJ (Grove Municipal Airport),7.3,91.6,71.5,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,The Moors,KY,South,36.883,-88.083,Resort,ATL (Atlanta Hartsfield-Jackson),489.8,42KY (Pirates Cove Airport),17.2,88.2,70.9,79.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,Harmel's Ranch Resort,CO,West,38.75,-107.983,Ranch Resort,DEN (Denver Intl),310.7,3CO0 (Sky Island Ranch Airport),2,96.1,63.2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,Whispering Pines Resort,CA,West,39.5,-121.283,Resort,SFO (San Francisco Intl),229.4,F25 (Brownsville Airpark),5,80.2,58,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,"Marawarden Resort, Sarona",WI,Midwest,45.783,-91.733,Resort,MSP (Minneapolis-St. Paul),153.6,US-4921 (Drew 9 Airport),7.7,79.7,56.4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,Shawnee State Park,OH,Midwest,38.733,-83.25,State Park,DTW (Detroit Metro),386.5,0OI9 (Hidden Quarry Airport),21.5,86.3,67.5,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
