State/Area,Nominated,Investigation Interest,Coordinator Available
AK,True,False,False
AR,True,True,False
Big city,True,False,False
CA,True,True,False
CO,True,False,True
CT,False,False,True
Canada,True,False,False
DE,False,True,False
FL,True,False,False
IA,False,True,False
ID,True,False,True
IL,False,True,False
IN,False,True,True
KS,False,True,False
KY,True,True,True
LA,False,False,True
MA,False,False,True
MD,False,True,False
ME,True,False,True
MI,True,False,False
MN,True,True,True
MO,False,True,False
MT,True,False,False
NC,True,True,False
NH,False,False,True
NJ,False,False,True
NY,False,True,False
OH,True,True,True
OK,False,False,True
OR,True,True,True
PA,True,True,True
RI,False,False,True
TN,True,True,False
TX,True,False,True
VT,False,False,True
WA,False,True,True
WF,False,True,False
WI,True,True,True
