Unit Capacity Preference,Count
2-4,2
4,2
4+,2
2 bedroom,1
2 - 4,1
3-6,1
1 or 2 bedroom,1
4-6 assuming my dad might stay with us again,1
4-5ish.  I’ll presumably be one of three; my sister will want a 4-5 person unit.,1
8,1
2 bedroom ,1
2-4/6,1
Need variety. 2 person unit for Melinda and myself and larger units for kids/grandkids. Need to be 3-6 bedrooms,1
Not sure what you’re asking. 2-6 people per unit?,1
"Nice to have differing sizes for different groups, e.g. 2 person up to ~8-10.",1
"Prefer units that have a variety of configurations, but cabins or houses are ideal ",1
5+,1
"More depends on cost per capita, fine to share with just 1 person or 10 people",1
"at least 4 people, 2 bedrooms",1
No preference,1
6,1
7+,1
"I prefer a variety of capacities, so that different group sizes can all be accommodated. ",1
3 bedroom,1
2 to 4 bedrooms,1
