Role (Coordinate/Investigate),States/Regions Covered
I'm willing to investigate sites,"IL, IA, WI, MN, Western PA, Western NY State"
I'm willing to investigate sites,anywhere within a six hour drive of cincinnati
"I'm willing to investigate sites, If a site is selected near me, I'd be willing to coordinate the reunion",Oregon and Washington.  Idaho only if absolutely necessary; it's quite a hike from here.
I'm willing to investigate sites,I can reasonably investigate anywhere within about 500 mi of San Francisco
"I'm willing to investigate sites, If a site is selected near me, I'd be willing to coordinate the reunion","NJ, PA, MN, WI"
I'm willing to investigate sites,Kansas City and surrounding area. Something I could make a day trip out of
I'm willing to investigate sites,"MD, PA, WV, NC, DE"
I'm willing to investigate sites,"Missouri, Arkansas, Tennessee, Iowa, Illinois, Indiana, Kentucky, Wisconsin, Minnesota"
"I'm willing to investigate sites, If a site is selected near me, I'd be willing to coordinate the reunion","Texas, Colorado, Oklahoma (yuck-still have ptsd over Red 11 Port), Louisiana (not ideal) "
I'm willing to investigate sites,Hershey with some help.
I'm willing to investigate sites,Kansas and surrounding states
I'm willing to investigate sites," Honestly, I would be best if you'd just assign me some secretarial tasks, especially internet sleuthing or sending emails to people. Or if you need a detailed spreadsheet and help upkeeping it. I do that professionally. 

I'm always happy to throw Oregon into the mix since I live here, but we were just there in 2022 so I won't be lobbying for it as a location. "
"If a site is selected near me, I'd be willing to coordinate the reunion","Ohio, though western/NW Ohio is quite a drive. Northern Kentucky, southern Indiana"
I'm willing to investigate sites,"CA, Or, WA"
I'm willing to investigate sites,Southern California
"I'm willing to investigate sites, If a site is selected near me, I'd be willing to coordinate the reunion",Northeast
I'm willing to investigate sites,"Kentucky, Kansas"
I'm willing to investigate sites,Texas
